"Дата";"Регион название";"БольныеНаНаселение"
30.03.2020;Курганская область;0.00005068630096275249
30.03.2020;Курская область;0.00023057238698398383
30.03.2020;Ленинградская область;0.0016933517906053159
30.03.2020;Липецкая область;0.0009687747743965744
30.03.2020;Магаданская область;0.0005948621753911466
30.03.2020;Москва;0.01864863616398902
30.03.2020;Московская область;0.0022427972746395697
30.03.2020;Мурманская область;0.0015166167162631928
30.03.2020;Ненецкий автономный округ;0
30.03.2020;Нижегородская область;0.0006624486646448145
30.03.2020;Новгородская область;0.000494660959378442
30.03.2020;Новосибирская область;0.0003022240153042143
30.03.2020;Омская область;0.0003717047553501251
30.03.2020;Оренбургская область;0.0004333994989901792
30.03.2020;Орловская область;0.0005161804406230948
30.03.2020;Пензенская область;0.00134097366488639
30.03.2020;Пермский край;0.0005718376804433801
30.03.2020;Приморский край;0.00018668894388496258
30.03.2020;Псковская область;0.0010323572171419774
30.03.2020;Республика Адыгея;0.001134347019440187
30.03.2020;Республика Алтай;0
30.03.2020;Республика Башкортостан;0.00015117928101313744
30.03.2020;Республика Бурятия;0.0027279677786376036
30.03.2020;Республика Дагестан;0.0006154650992822139
30.03.2020;Республика Ингушетия;0.00008781427631815814
30.03.2020;Республика Калмыкия;0.001452364267481927
30.03.2020;Республика Карелия;0
30.03.2020;Республика Коми;0.005402548473856508
30.03.2020;Республика Крым;0.0008285983169600563
30.03.2020;Республика Марий Эл;0.0004606045937771063
30.03.2020;Республика Мордовия;0.0004613698567907964
30.03.2020;Республика Саха (Якутия);0.0013036438326536114
30.03.2020;Республика Северная Осетия — Алания;0.00040713669920028177
30.03.2020;Республика Татарстан;0.0004475423833642186
30.03.2020;Республика Тыва;0
30.03.2020;Республика Хакасия;0.0005049711754479825
30.03.2020;Ростовская область;0.00016247413445628233
30.03.2020;Рязанская область;0.0005477485115889572
30.03.2020;Самарская область;0.0003757616218372614
30.03.2020;Санкт-Петербург;0.0023436116363253928
30.03.2020;Саратовская область;0.0005220220815340489
30.03.2020;Сахалинская область;0.0010200313761651307
30.03.2020;Свердловская область;0.0006671776851391653
30.03.2020;Севастополь;0.0011450294272562806
30.03.2020;Смоленская область;0.00013543129450046618
30.03.2020;Ставропольский край;0.00029074633973311933
30.03.2020;Тамбовская область;0.0004975905559523994
30.03.2020;Тверская область;0.00024479501810982415
30.03.2020;Томская область;0.0001854805801832548
30.03.2020;Тульская область;0.0010341870643307445
30.03.2020;Тюменская область;0.0004098574334746579
30.03.2020;Удмуртская Республика;0.0001416255669271444
30.03.2020;Ульяновская область;0.00004583830583455168
30.03.2020;Хабаровский край;0.0006883116296487652
30.03.2020;Ханты-Мансийский автономный округ - Югра;0.0006128340571392664
30.03.2020;Челябинская область;0.000564388277540962
30.03.2020;Чеченская Республика;0.0007555522903324997
30.03.2020;Чувашская Республика;0.0000696231842418598
30.03.2020;Чукотский автономный округ;0
30.03.2020;Ямало-Ненецкий автономный округ;0.0010080032807854148
30.03.2020;Ярославская область;0.00022573903574216447
06.04.2020;Алтайский край;0.0008327983971366324
06.04.2020;Амурская область;0.0005009869442802321
06.04.2020;Архангельская область;0.0014272457615622659
06.04.2020;Астраханская область;0.0015022608323535878
06.04.2020;Белгородская область;0.0012443391784706832
06.04.2020;Брянская область;0.006877535280104435
06.04.2020;Владимирская область;0.002290544951737389
06.04.2020;Волгоградская область;0.0009575650243312172
06.04.2020;Вологодская область;0.0027559169354495054
06.04.2020;Воронежская область;0.0010589863994315508
06.04.2020;Еврейская автономная область;0.0037033836582023778
06.04.2020;Забайкальский край;0.00025300806616347356
06.04.2020;Ивановская область;0.005040463091842588
06.04.2020;Иркутская область;0.000695213396346208
06.04.2020;Кабардино-Балкарская Республика;0.002474922435930858
06.04.2020;Калининградская область;0.004237170673091079
06.04.2020;Калужская область;0.0012985011344947956
06.04.2020;Камчатский край;0.0016297712118118572
06.04.2020;Карачаево-Черкесская Республика;0.0013173474749052965
06.04.2020;Кемеровская область (Кузбасс);0.00021734360629976272
06.04.2020;Кировская область;0.0015028945749513563
06.04.2020;Костромская область;0.0013989840267112684
06.04.2020;Краснодарский край;0.0015526232193910146
06.04.2020;Красноярский край;0.00138064756244438
06.04.2020;Курганская область;0.00021964063750526083
06.04.2020;Курская область;0.0016908641712158811
06.04.2020;Ленинградская область;0.005639255265457703
06.04.2020;Липецкая область;0.003390711710388011
06.04.2020;Магаданская область;0.0002974310876955733
06.04.2020;Москва;0.05274984797580625
06.04.2020;Московская область;0.009591861349434764
06.04.2020;Мурманская область;0.0067299866784179185
06.04.2020;Ненецкий автономный округ;0
06.04.2020;Нижегородская область;0.002919190448868149
06.04.2020;Новгородская область;0.0016017592970349551
06.04.2020;Новосибирская область;0.00048150944811179916
06.04.2020;Омская область;0.0006996795394825885
06.04.2020;Оренбургская область;0.0008667989979803584
06.04.2020;Орловская область;0.0021411929388809856
06.04.2020;Пензенская область;0.004012193205340079
06.04.2020;Пермский край;0.0011001067757101216
06.04.2020;Приморский край;0.0006720801979858653
06.04.2020;Псковская область;0.0012792252473281024
06.04.2020;Республика Адыгея;0.003182473582318303
06.04.2020;Республика Алтай;0
06.04.2020;Республика Башкортостан;0.0007312858244356416
06.04.2020;Республика Бурятия;0.0047594331457081595
06.04.2020;Республика Дагестан;0.0017111794805800946
