"Дата";"Регион название";"Больные";"Заражений";"Выздоровлений";"Выздоровлений за день";"Смертей";"Смертей за день";"Заражений за день";"Регион население"
30.03.2020;Ивановская область;95;99;4;1;0;0;16;7102522
30.03.2020;Иркутская область;39;39;0;0;0;0;7;16829365
30.03.2020;Кабардино-Балкарская Республика;52;52;0;0;0;0;4;6060796
30.03.2020;Калининградская область;83;112;29;4;0;0;8;6962193
30.03.2020;Калужская область;27;31;4;1;0;0;4;7085092
30.03.2020;Камчатский край;2;2;0;0;0;0;2;2208899
30.03.2020;Карачаево-Черкесская Республика;0;0;0;0;0;0;0;3264135
30.03.2020;Кемеровская область (Кузбасс);7;21;14;0;0;0;0;18864139
30.03.2020;Кировская область;79;99;20;1;0;0;9;8982666
30.03.2020;Костромская область;27;29;0;0;2;1;7;4503268
30.03.2020;Краснодарский край;173;195;22;3;0;0;22;39223940
30.03.2020;Красноярский край;125;152;27;1;0;0;17;20135479
30.03.2020;Курганская область;3;9;6;1;0;0;1;5918759
30.03.2020;Курская область;18;18;0;0;0;0;4;7806659
30.03.2020;Ленинградская область;215;221;6;1;0;0;48;12696712
30.03.2020;Липецкая область;78;100;22;1;0;0;9;8051407
30.03.2020;Магаданская область;6;6;0;0;0;0;1;1008637
30.03.2020;Москва;16326;17367;913;170;128;23;2879;87545276
30.03.2020;Московская область;1178;1325;138;23;9;2;193;52523695
30.03.2020;Мурманская область;80;87;7;1;0;0;12;5274899
30.03.2020;Ненецкий автономный округ;0;0;0;0;0;0;0;307979
30.03.2020;Нижегородская область;150;157;7;0;0;0;36;22643264
30.03.2020;Новгородская область;21;21;0;0;0;0;0;4245332
30.03.2020;Новосибирская область;59;69;10;2;0;0;3;19521943
30.03.2020;Омская область;51;51;0;0;0;0;7;13720567
30.03.2020;Оренбургская область;60;69;2;1;7;0;6;13844040
30.03.2020;Орловская область;27;27;0;0;0;0;3;5230729
30.03.2020;Пензенская область;125;132;1;1;6;1;20;9321585
30.03.2020;Пермский край;105;122;10;3;7;2;10;18361854
30.03.2020;Приморский край;25;37;10;2;2;1;5;13391259
30.03.2020;Псковская область;46;63;5;3;12;2;3;4455822
30.03.2020;Республика Адыгея;36;36;0;0;0;0;6;3173632
30.03.2020;Республика Алтай;0;0;0;0;0;0;0;1526441
30.03.2020;Республика Башкортостан;43;60;17;5;0;0;5;28443051
30.03.2020;Республика Бурятия;188;188;0;0;0;0;27;6891577
30.03.2020;Республика Дагестан;132;132;0;0;0;0;24;21447195
30.03.2020;Республика Ингушетия;3;3;0;0;0;0;1;3416301
30.03.2020;Республика Калмыкия;28;28;0;0;0;0;7;1927891
30.03.2020;Республика Карелия;0;0;0;0;0;0;0;4357388
30.03.2020;Республика Коми;318;328;4;1;6;2;52;5886111
30.03.2020;Республика Крым;111;119;8;3;0;0;5;13396117
30.03.2020;Республика Марий Эл;22;22;0;0;0;0;4;4776331
30.03.2020;Республика Мордовия;26;28;2;2;0;0;2;5635392
30.03.2020;Республика Саха (Якутия);88;105;17;4;0;0;0;6750310
30.03.2020;Республика Северная Осетия — Алания;20;20;0;0;0;0;5;4912355
30.03.2020;Республика Татарстан;122;146;24;5;0;0;11;27259988
30.03.2020;Республика Тыва;0;0;0;0;0;0;0;2252054
30.03.2020;Республика Хакасия;19;21;2;1;0;0;1;3762591
30.03.2020;Ростовская область;48;48;0;0;0;0;7;29543164
30.03.2020;Рязанская область;43;50;7;2;0;0;9;7850318
30.03.2020;Самарская область;84;112;28;7;0;0;3;22354598
30.03.2020;Санкт-Петербург;878;938;47;2;13;1;149;37463545
30.03.2020;Саратовская область;90;95;5;1;0;0;17;17240650
30.03.2020;Сахалинская область;35;35;0;0;0;0;2;3431267
30.03.2020;Свердловская область;202;247;45;12;0;0;16;30276792
30.03.2020;Севастополь;35;35;0;0;0;0;0;3056690
30.03.2020;Смоленская область;9;9;0;0;0;0;1;6645436
30.03.2020;Ставропольский край;57;62;5;2;0;0;6;19604718
30.03.2020;Тамбовская область;36;38;2;2;0;0;4;7234864
30.03.2020;Тверская область;22;36;14;0;0;0;3;8987111
30.03.2020;Томская область;14;21;7;0;0;0;0;7547960
30.03.2020;Тульская область;108;123;15;3;0;0;18;10442985
30.03.2020;Тюменская область;43;55;12;1;0;0;7;10491453
30.03.2020;Удмуртская Республика;15;30;15;3;0;0;1;10591308
30.03.2020;Ульяновская область;4;7;3;1;0;0;0;8726326
30.03.2020;Хабаровский край;64;64;0;0;0;0;4;9298114
30.03.2020;Ханты-Мансийский автономный округ - Югра;71;77;6;2;0;0;14;11585518
30.03.2020;Челябинская область;138;146;8;2;0;0;15;24451252
30.03.2020;Чеченская Республика;76;80;0;0;4;1;6;10058867
30.03.2020;Чувашская Республика;6;7;1;1;0;0;0;8617819
30.03.2020;Чукотский автономный округ;0;0;0;0;0;0;0;345436
30.03.2020;Ямало-Ненецкий автономный округ;38;38;0;0;0;0;12;3769829
30.03.2020;Ярославская область;20;26;6;1;0;0;3;8859788
06.04.2020;Алтайский край;137;142;5;3;0;0;22;16450560
06.04.2020;Амурская область;28;32;4;1;0;0;2;5588968
06.04.2020;Архангельская область;111;138;27;2;0;0;16;7777217
06.04.2020;Астраханская область;107;107;0;0;0;0;24;7122598
06.04.2020;Белгородская область;135;144;9;3;0;0;24;10849132
06.04.2020;Брянская область;583;595;12;3;0;0;122;8476874
06.04.2020;Владимирская область;221;230;2;1;7;0;68;9648359
06.04.2020;Волгоградская область;169;192;23;6;0;0;30;17648932
06.04.2020;Вологодская область;227;227;0;0;0;0;29;8236823
06.04.2020;Воронежская область;173;235;62;8;0;0;35;16336376
06.04.2020;Еврейская автономная область;42;42;0;0;0;0;5;1134098
